work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2022,machine learning engineer  in office,analysis,eur,186597,136086,us,mi,ct,remote,de,l
2020,statistician  (remote),ml/ai,jpy,110630,67982,jp,ex,fl,remote,in,m
2022,machine learning engineer,ml/ai,inr,61280,153309,uk,mi,ct,hybrid,cn,l
2022,data analyst  in office,ml/ai,jpy,154130,135242,de,se,ft,hybrid,mx,l
2020,statistician,data science,eur,172312,35156,uk,mi,ft,in-person,uk,s
2020,machine learning engineer,engineering,jpy,36544,68280,cn,mi,ft,hybrid,de,m
2022,data analyst  in office,data science,jpy,178404,105324,de,ex,pt,remote,de,l
2021,data scientist  (remote),ml/ai,jpy,187908,90706,uk,ex,ct,remote,jp,m
2022,statistician  (remote),engineering,us dolars,31694,73408,de,en,ct,remote,us,s
2022,data engineer  in office,data science,us dolars,157727,167559,us,se,fl,hybrid,us,s
2022,data scientist,data science,inr,118202,50997,mx,ex,fl,in-person,uk,m
2020,machine learning engineer  (remote),unknown,unknown,143057,76456,mx,unknown,fl,in-person,de,unknown
2022,statistician,engineering,us dolars,79294,160865,jp,en,ct,in-person,jp,m
2021,data engineer,analysis,jpy,68769,107988,jp,en,ft,hybrid,cn,m
2020,data analyst,engineering,jpy,143289,110908,mx,ex,pt,in-person,uk,m
2021,data engineer  in office,analysis,jpy,132885,107952,us,ex,pt,in-person,in,l
2021,statistician  (remote),ml/ai,jpy,67855,114784,uk,se,ft,remote,jp,m
2021,statistician,ml/ai,gbp,162532,189266,jp,ex,pt,remote,in,l
2021,data engineer  (remote),data science,inr,77646,194857,us,ex,fl,in-person,uk,l
2020,data analyst  in office,ml/ai,eur,170907,88676,us,ex,pt,hybrid,us,l
2020,data engineer,ml/ai,eur,143947,38373,jp,se,ct,hybrid,jp,m
2021,statistician,analysis,us dolars,40910,191355,mx,mi,ft,hybrid,cn,s
2020,machine learning engineer  (remote),engineering,eur,38463,56414,in,en,ft,remote,uk,m
2020,machine learning engineer  (remote),data science,inr,174408,175450,mx,mi,ft,hybrid,jp,m
2020,data scientist,unknown,unknown,56534,147139,de,unknown,ct,hybrid,jp,unknown
2022,statistician  (remote),engineering,us dolars,163441,113872,mx,se,fl,in-person,uk,l
2022,machine learning engineer  (remote),data science,inr,186453,165772,uk,se,fl,hybrid,mx,s
2021,data analyst,data science,gbp,115094,120374,cn,mi,pt,hybrid,uk,s
2022,data engineer,data science,us dolars,117905,183669,in,mi,fl,hybrid,jp,s
2021,data analyst  in office,analysis,eur,55407,194500,mx,en,pt,remote,cn,l
2022,data scientist,ml/ai,eur,197011,59493,us,mi,pt,remote,uk,l
2021,data engineer,ml/ai,jpy,122303,155074,cn,ex,fl,in-person,jp,m
